customer_id,customer_name,MonetaryScore,RecencyScore,FrequencyScore,RFMScore,Value
6955,Eduardo Powers,3,4,2,9,Med
23418,Rachel Chapman,4,2,4,10,High
43195,Ronald Cruz,3,2,4,9,Med
17342,Heather Cox,4,3,3,10,High
37148,Philip Oneal DVM,3,4,2,9,Med
2356,Edward Wells,4,4,2,10,High
20111,Dr. Ronald Barnes,5,1,5,11,High
30101,Catherine Edwards,2,3,3,8,Med
20644,Laura Heath DDS,5,1,5,11,High
27737,Breanna Simmons,1,5,1,7,Low
30795,Christopher Harris,4,2,4,10,High
19270,Timothy Smith,5,1,5,11,High
13185,Lisa Green,5,1,5,11,High
24706,Benjamin Clark,1,5,1,7,Low
9316,Joshua Johnson,5,2,4,11,High
7951,Kyle Velazquez,4,2,4,10,High
7359,Jeffrey Marshall,4,4,2,10,High
42178,Bonnie Brown,2,4,2,8,Med
18454,Sergio Wilson,5,2,4,11,High
43525,Sarah Osborn,3,4,2,9,Med
41544,Albert Ortiz,5,1,5,11,High
23833,Michael Johnson,5,2,4,11,High
11146,Sally Sanford,2,3,3,8,Med
5031,Melissa Sanders,4,2,4,10,High
9000,Tammy Tucker,2,4,2,8,Med
36894,Thomas Price,3,3,3,9,Med
16997,Tara Campbell,5,2,4,11,High
26751,Michael Walsh,1,5,1,7,Low
30396,Stephen Castaneda,5,2,4,11,High
41258,Brandon Nichols,3,4,2,9,Med
19972,Rachel Smith,2,4,2,8,Med
41616,Kim Wallace,4,2,4,10,High
32244,Terry Schmidt,2,5,1,8,Med
2891,Robin Myers,2,5,1,8,Med
32763,Shawna Thompson,5,1,5,11,High
39479,Theodore Guerra,2,5,1,8,Med
15711,William Black,2,5,1,8,Med
7244,Gregory Richards,1,5,1,7,Low
948,Susan Reid,4,1,5,10,High
31021,Julia Davis,4,2,4,10,High
26980,Sabrina Becker PhD,1,5,1,7,Low
37464,Matthew Mitchell,5,2,4,11,High
20320,Tanner Washington,5,1,5,11,High
22358,Cory Long,3,2,4,9,Med
30334,Brian Smith,3,2,4,9,Med
26695,Madeline Boyd,5,1,5,11,High
36947,Joshua Tran,4,2,4,10,High
19034,Heather Bonilla,3,5,1,9,Med
42098,Barbara Reynolds,2,5,1,8,Med
2129,Joseph Harris,1,5,1,7,Low
15553,Jose Garcia,3,3,3,9,Med
40835,Jonathon Harrington,1,5,1,7,Low
49239,Taylor Morse,5,1,5,11,High
25863,Steven Guerrero,4,3,3,10,High
24705,Michael Shaw,4,1,5,10,High
49871,Michael Padilla,2,4,2,8,Med
26987,Robert Garcia,5,2,4,11,High
48538,Jennifer Hall,1,5,1,7,Low
17366,William Donovan,2,4,2,8,Med
4608,Amy Nunez,4,2,4,10,High
36844,Charles Vance,5,2,4,11,High
31056,Sonya Pineda,5,1,5,11,High
46609,Sean Brown,3,2,4,9,Med
33395,Robert Bowen,5,1,5,11,High
34553,Daniel Scott,1,3,3,7,Low
37560,Ana Patterson,4,1,5,10,High
30632,Daniel Newman,5,1,5,11,High
35724,John Martinez,2,4,2,8,Med
37304,Michelle Lewis,4,2,4,10,High
34203,Troy Armstrong,2,5,1,8,Med
20837,Brent Adams,5,1,5,11,High
44212,Joshua Adams,1,5,1,7,Low
47247,Nicole Hill,3,2,4,9,Med
20445,Richard Wilson,4,1,5,10,High
42672,Jordan Foster,2,5,1,8,Med
10589,Richard Jackson,5,2,4,11,High
36951,Anna Conner,2,3,3,8,Med
1548,Sydney Sutton,1,5,1,7,Low
43842,Justin Hobbs,2,5,1,8,Med
3849,Terry Dean,1,4,2,7,Low
32711,Robert Nixon,2,5,1,8,Med
3746,Matthew Maxwell,4,2,4,10,High
46208,Matthew Smith,4,1,5,10,High
13728,Matthew Preston,5,2,4,11,High
15384,Billy Alvarez,1,5,1,7,Low
34954,Kerry Hernandez,3,2,4,9,Med
49293,Marilyn Hall,3,2,4,9,Med
31470,Jessica Rodgers,2,4,2,8,Med
21883,Makayla Jordan,5,1,5,11,High
34719,Jason Payne,4,2,4,10,High
46193,Beverly Davis,4,4,2,10,High
45955,Jennifer Robles,4,2,4,10,High
33141,Nina Moreno,5,1,5,11,High
48569,Carolyn Haley,2,4,2,8,Med
34257,Lisa Garcia,5,1,5,11,High
18971,Judy Beasley,3,2,4,9,Med
34974,Sherri Romero,3,4,2,9,Med
28198,Ashley Lane,1,5,1,7,Low
19319,Mike Fisher,3,3,3,9,Med
2506,Rachel Williams,4,2,4,10,High
11274,Mary Jones,3,3,3,9,Med
32496,Hailey Oneal,5,1,5,11,High
47565,Meredith Chapman,4,2,4,10,High
26089,James Allen,5,1,5,11,High
25077,Curtis Cabrera,3,2,4,9,Med
6412,Taylor Taylor,2,5,1,8,Med
49051,Hailey Moreno,5,1,5,11,High
7961,Taylor Austin,3,2,4,9,Med
7742,Lance Flowers,3,2,4,9,Med
41941,Benjamin Horn,3,3,3,9,Med
36156,Harold Conway,3,3,3,9,Med
25876,Christopher Harper,1,5,1,7,Low
15732,Christopher Harris,3,4,2,9,Med
39648,Mike Graham,5,1,5,11,High
23341,Melissa Harris,2,4,2,8,Med
16712,Emily Perez,4,2,4,10,High
27759,Jennifer Brown,2,5,1,8,Med
6093,Megan Woodard,4,2,4,10,High
10927,Ryan Gibson,2,5,1,8,Med
1052,Lisa Stanton,4,2,4,10,High
385,Justin Ramirez,4,1,5,10,High
20365,Phillip Stein,5,2,4,11,High
42122,Mr. Donald Johnson DVM,3,2,4,9,Med
14877,Teresa Griffin PhD,5,2,4,11,High
41213,Brianna Carrillo,3,4,2,9,Med
12197,Phillip Black,5,1,5,11,High
1378,Bianca Allen,1,5,1,7,Low
27178,Kyle Garcia,3,4,2,9,Med
8286,James Nielsen,4,4,2,10,High
26929,Glenda Summers,5,2,4,11,High
43674,Christopher Day,1,5,1,7,Low
15154,George Ortiz,2,4,2,8,Med
28753,Michael Sanchez,4,2,4,10,High
619,Daniel Patel,1,5,1,7,Low
31986,Jesse Mckinney,2,4,2,8,Med
9290,Cynthia Rivera,4,2,4,10,High
24919,Susan Carter,5,2,4,11,High
33783,John Saunders,4,3,3,10,High
12684,Sarah Patel,2,5,1,8,Med
34090,Michelle Coleman,3,4,2,9,Med
8522,Eric Morrow,5,2,4,11,High
40847,Thomas Barnett,2,3,3,8,Med
3533,Jessica Barnes,1,5,1,7,Low
24897,Lisa Murphy,3,2,4,9,Med
47483,Lance Kelly,4,1,5,10,High
10577,Chad Jones,3,2,4,9,Med
15013,John Zuniga,3,2,4,9,Med
48212,Lisa Terry,4,3,3,10,High
26756,Alexander French,5,2,4,11,High
28963,Pamela Crawford,2,5,1,8,Med
39140,Michele Fisher,3,4,2,9,Med
5834,Sean English,3,3,3,9,Med
2978,Alisha Thomas,2,4,2,8,Med
49817,Emily Moore,5,2,4,11,High
23197,Jaime Smith,5,1,5,11,High
8258,Jennifer Johnson,5,2,4,11,High
28056,Donald Brown,3,3,3,9,Med
23892,Casey Morris,3,2,4,9,Med
20627,Michael Terry,1,4,2,7,Low
30538,Michael Gibson,4,2,4,10,High
37513,Devin Rhodes,3,4,2,9,Med
19555,Michael Clark,1,5,1,7,Low
14537,Carrie Bartlett,4,2,4,10,High
34984,Lisa Santiago,5,2,4,11,High
37336,Michaela Mendoza,5,1,5,11,High
24242,Mary Hernandez,3,3,3,9,Med
10733,Heather Daniels,1,5,1,7,Low
42350,Michael Wheeler,1,5,1,7,Low
10286,Tiffany Shah,4,4,2,10,High
29119,Juan Brown,2,5,1,8,Med
41256,David Washington,3,4,2,9,Med
2593,Ashley Suarez,3,3,3,9,Med
7309,Tammy Parker,2,4,2,8,Med
33522,Michael Rowe,3,2,4,9,Med
35922,Karen Morris,5,1,5,11,High
25267,Emily Bowman,2,5,1,8,Med
38563,Timothy Ferguson,3,2,4,9,Med
44043,Julia Kennedy,2,3,3,8,Med
33215,Caleb Koch,3,4,2,9,Med
32050,Erika Wiley,3,3,3,9,Med
19578,Natasha Higgins,1,5,1,7,Low
14058,Kyle Rangel,1,5,1,7,Low
6662,Andrea Sanchez,5,1,5,11,High
49057,Rachel Fleming,1,5,1,7,Low
8553,Grace Clark,1,5,1,7,Low
24719,Sue Johnson,3,4,2,9,Med
17047,Victoria Baker,5,1,5,11,High
36023,Matthew Williams,2,2,4,8,Med
2276,Michael Walker Jr.,2,3,3,8,Med
23694,Christopher Nguyen,5,1,5,11,High
40961,Anita Newton,5,1,5,11,High
47046,Thomas Hall,4,2,4,10,High
13320,Sharon Barnett,1,5,1,7,Low
7323,Gabriella Smith,5,1,5,11,High
1723,Denise Kelly,2,5,1,8,Med
5879,Kyle Kirby,3,4,2,9,Med
37943,Jason Lin,3,3,3,9,Med
16064,Deborah Sullivan,5,2,4,11,High
48385,Alexis Ryan,1,5,1,7,Low
14759,Ashley Ramirez,5,2,4,11,High
11869,Melissa Montgomery,2,2,4,8,Med
3100,Danielle White,4,2,4,10,High
31028,Linda Lindsey,2,4,2,8,Med
29419,Melissa Dickerson,3,4,2,9,Med
45523,Joshua Barnes,4,2,4,10,High
26241,Jake Anderson,1,5,1,7,Low
20758,Jennifer Lawrence,5,2,4,11,High
14894,Robert Wong,4,2,4,10,High
40868,Tina Wright,3,3,3,9,Med
21985,Ryan Blankenship,5,2,4,11,High
9002,William Mccall,3,3,3,9,Med
35242,Diana Daugherty,5,1,5,11,High
4344,Laura Reyes,1,5,1,7,Low
14196,Elizabeth Bowman,2,5,1,8,Med
6235,Amanda Herring,3,4,2,9,Med
29098,Erin Romero,5,1,5,11,High
27771,Tammy Haynes,2,5,1,8,Med
9749,Tiffany Pollard,5,1,5,11,High
4325,Stacy Jackson,2,4,2,8,Med
29299,Alyssa Turner,1,5,1,7,Low
45087,Clinton Proctor,1,5,1,7,Low
48545,Jennifer Taylor,5,1,5,11,High
37586,Brandon York,4,2,4,10,High
28600,Sarah Hernandez,5,1,5,11,High
6604,Michael Landry,4,3,3,10,High
7151,Taylor Smith,3,1,5,9,Med
27394,Elizabeth Obrien,5,2,4,11,High
33439,Mary Anderson,2,2,4,8,Med
42539,Timothy Gonzalez,2,4,2,8,Med
11107,Gerald Brown,2,3,3,8,Med
49095,Shane Bell,2,4,2,8,Med
6909,Rebecca Nichols DVM,1,5,1,7,Low
15937,Ethan Jones,5,1,5,11,High
27566,Brandon Lopez,5,2,4,11,High
31620,Michael Allison,1,5,1,7,Low
11169,Katie Wilson,1,5,1,7,Low
39398,Vincent Hoover,4,4,2,10,High
7135,James Hill,5,2,4,11,High
41844,Barbara Rodgers,4,2,4,10,High
44640,James Cox,4,2,4,10,High
9242,Edgar Watkins,3,3,3,9,Med
43281,Janice Foster,3,2,4,9,Med
49468,Edward Nelson,4,2,4,10,High
4737,Dennis Roth,4,1,5,10,High
4439,Dr. Sarah Sparks,4,2,4,10,High
41591,Brooke Rowe,4,1,5,10,High
6530,Matthew Becker,2,5,1,8,Med
11634,Mark Gomez,2,4,2,8,Med
36682,Garrett Paul,2,4,2,8,Med
12133,April Peters,4,1,5,10,High
17874,Natalie Sanchez,4,2,4,10,High
31116,Erik Buckley,4,2,4,10,High
40802,James Allen,3,3,3,9,Med
16157,Mrs. Jasmine Knox,2,3,3,8,Med
13913,Chris Gallegos,3,3,3,9,Med
37001,Brenda Fry,3,3,3,9,Med
23276,Peter Henry,4,2,4,10,High
44710,Michael Gibson,1,5,1,7,Low
7647,Mark Stephens,4,2,4,10,High
31734,David Mcgrath,4,2,4,10,High
36289,Jeremy Walls,4,2,4,10,High
43857,Melanie Watkins,2,2,4,8,Med
43993,Susan Smith,5,2,4,11,High
26081,Justin Flynn,1,3,3,7,Low
23722,Mrs. Stephanie Obrien,1,5,1,7,Low
41411,Shannon Coleman,3,2,4,9,Med
8846,Jennifer Rice,1,5,1,7,Low
41932,William Russell,3,1,5,9,Med
41769,Tiffany Rhodes,4,3,3,10,High
25951,Michael Welch,2,3,3,8,Med
6987,Anthony Lewis,5,1,5,11,High
46140,James Hubbard,1,3,3,7,Low
46197,Bradley Moore,5,1,5,11,High
15128,Joshua Drake,2,4,2,8,Med
19484,Paul Luna,2,5,1,8,Med
46779,Amy Lynn,1,5,1,7,Low
37828,Nicole Freeman,5,2,4,11,High
33824,Gregory Norris,5,1,5,11,High
38121,Lindsey Rivera,1,5,1,7,Low
49114,Jeremy May,2,5,1,8,Med
38868,Barbara Rogers,1,5,1,7,Low
43050,Adrienne Perez,1,5,1,7,Low
43039,Melissa Bowman,3,4,2,9,Med
21265,Patricia Rojas,4,2,4,10,High
5125,Mitchell Tucker,1,5,1,7,Low
19549,Megan Miller,3,3,3,9,Med
19916,Elaine Mcmillan,3,2,4,9,Med
13265,Aaron Jones,3,4,2,9,Med
27842,Mary Keller,3,2,4,9,Med
26495,Leonard Levy,4,2,4,10,High
9589,Dana Haas,4,3,3,10,High
27436,Danny Stone,5,2,4,11,High
23268,Darlene Foster,1,4,2,7,Low
41462,Debra Maynard,5,1,5,11,High
12959,Shannon Thomas,5,2,4,11,High
26201,Darlene Bennett,5,1,5,11,High
46838,Gregory Smith,5,1,5,11,High
29902,Jennifer Hale,4,2,4,10,High
48255,Kim Munoz,5,1,5,11,High
33424,Howard Curtis,5,1,5,11,High
21341,Kelly Ruiz,3,2,4,9,Med
6903,Brenda Porter,4,3,3,10,High
4850,William Harper,3,2,4,9,Med
41925,Karen Howell,1,5,1,7,Low
36691,Michael Weaver,5,1,5,11,High
23937,Tamara Gallegos,5,1,5,11,High
4181,Elizabeth Williams,4,2,4,10,High
25088,Tabitha Butler,4,2,4,10,High
11971,Matthew Zimmerman,4,3,3,10,High
44138,Danielle Morrow,4,3,3,10,High
8013,Mrs. Victoria Brown,3,3,3,9,Med
28754,Jessica Garner,4,2,4,10,High
45866,Michelle Rivera,5,1,5,11,High
49997,Jenny Weiss,5,1,5,11,High
5163,Victoria Morris,2,2,4,8,Med
29535,Taylor Brown,1,5,1,7,Low
26763,Dennis Powell,1,5,1,7,Low
25619,Jonathan Bryant,3,4,2,9,Med
19498,Alexandra Faulkner,4,2,4,10,High
21419,Ricky Jones,4,2,4,10,High
26441,Denise James,4,3,3,10,High
4534,Douglas Parker,2,5,1,8,Med
11580,Rose Wright,3,4,2,9,Med
27690,Veronica Young,2,5,1,8,Med
45699,Connor Martin,1,5,1,7,Low
48670,Jocelyn Smith,2,5,1,8,Med
9118,Laurie Rodriguez,3,3,3,9,Med
27298,Ronald Martinez,3,3,3,9,Med
1583,Caroline Henson,2,3,3,8,Med
19372,Donna Holland,5,2,4,11,High
39759,Michael Hicks,5,2,4,11,High
11722,Charles Young,5,2,4,11,High
47037,Patricia Gonzalez,2,2,4,8,Med
6875,Shannon Johnson,3,2,4,9,Med
33074,Dalton Dougherty,5,2,4,11,High
8833,Tamara Young,2,4,2,8,Med
36603,Joshua Tucker,5,1,5,11,High
23097,Thomas Kaufman,3,4,2,9,Med
1164,Whitney Anderson,4,2,4,10,High
12572,Ashley Mendoza,2,4,2,8,Med
46892,Jack Ross,1,5,1,7,Low
33288,Mary Garcia,2,4,2,8,Med
19456,Darrell Reed,3,2,4,9,Med
29761,Kaylee Schroeder,5,2,4,11,High
49936,Amber Turner,5,2,4,11,High
13872,Antonio Ware,2,4,2,8,Med
17961,Lawrence White,1,3,3,7,Low
49550,Angela Clark,1,5,1,7,Low
32077,Benjamin Austin,4,2,4,10,High
41735,Kenneth Willis,4,2,4,10,High
45541,Bonnie Wall,2,5,1,8,Med
24655,Caleb Rasmussen,1,5,1,7,Low
15025,Eugene Brock,2,5,1,8,Med
25784,Wanda Erickson,4,3,3,10,High
33566,Brandon Dunn,5,2,4,11,High
35557,John Underwood,5,2,4,11,High
32002,Jacob Thomas,3,3,3,9,Med
29951,Felicia Sampson,3,3,3,9,Med
31002,Penny Stevens,3,1,5,9,Med
26367,Jason Morgan,1,5,1,7,Low
11994,Ann Hunter,3,4,2,9,Med
30445,Mathew Wright,1,5,1,7,Low
5172,James Carpenter,3,3,3,9,Med
34547,Joshua Jones DDS,5,2,4,11,High
24202,Thomas Lambert,4,2,4,10,High
36049,Dale Vang,4,2,4,10,High
22556,Peter Porter,1,5,1,7,Low
43919,Christopher Simmons,3,4,2,9,Med
46118,Micheal Robles,4,2,4,10,High
43321,Mary Rose,3,4,2,9,Med
46480,Tammy Villarreal,3,3,3,9,Med
10428,Jason Smith,1,5,1,7,Low
45433,Mark Nash,4,2,4,10,High
36619,Stephanie Smith,5,1,5,11,High
16257,Anthony Murphy,4,2,4,10,High
43453,Thomas Fisher,4,2,4,10,High
14996,Regina Jones,4,3,3,10,High
12387,Isaac Burns,1,5,1,7,Low
12647,Anna Reeves,5,3,3,11,High
37817,Paul Gonzalez DVM,2,4,2,8,Med
16871,Robert Dunlap,5,2,4,11,High
16054,Tanya Taylor,1,5,1,7,Low
5458,Tara Riggs,3,2,4,9,Med
35417,Anita Ho,2,3,3,8,Med
11072,Paula Brown,4,1,5,10,High
49424,Dana Weber,1,3,3,7,Low
30355,Jake Lopez,2,3,3,8,Med
23739,Kimberly Meza,1,5,1,7,Low
46859,Dennis Williams,2,4,2,8,Med
40207,Amber Cortez,2,5,1,8,Med
20141,Chelsea Ellison,4,3,3,10,High
5067,Scott Walker,4,2,4,10,High
4378,Kelly Lawrence,1,5,1,7,Low
13277,Juan Gonzalez,4,2,4,10,High
22157,Amber Frazier,4,2,4,10,High
43489,Brenda Turner,3,3,3,9,Med
21981,Lisa Charles,2,5,1,8,Med
18844,Cynthia Osborn,5,1,5,11,High
38477,Robert Mack,4,2,4,10,High
34430,Mark Kennedy,4,4,2,10,High
35979,Jonathan Higgins,2,5,1,8,Med
30557,Wendy Cruz,2,3,3,8,Med
9149,Christopher Gay,5,2,4,11,High
12682,Jay Gill,3,4,2,9,Med
26613,Taylor Garcia,3,2,4,9,Med
14666,Justin Williams,3,4,2,9,Med
29992,Ralph Hurst,4,2,4,10,High
1657,Michele Mckenzie,4,2,4,10,High
14765,Jose Harris,3,4,2,9,Med
9011,Monique Spencer,2,4,2,8,Med
29512,Samantha Oconnor,3,2,4,9,Med
3818,Mary Wise DDS,4,3,3,10,High
33993,Ryan Burns,1,5,1,7,Low
27671,Mason Griffin,1,5,1,7,Low
11974,William Griffin,2,2,4,8,Med
5167,Robert Garrett,4,2,4,10,High
31601,Brandon Dudley,4,2,4,10,High
39834,Antonio Owens,3,4,2,9,Med
38421,Kathleen Pace,2,5,1,8,Med
13564,Jessica Russell,5,3,3,11,High
9322,Gregory Smith,4,1,5,10,High
19031,Cindy Kramer,5,2,4,11,High
16079,Susan Porter,2,5,1,8,Med
39609,Melanie Keller,1,5,1,7,Low
30074,Rachel Robinson,5,1,5,11,High
8151,Jennifer Barrett,3,2,4,9,Med
12947,David Robles,5,2,4,11,High
49462,Samantha Collins,2,2,4,8,Med
35310,Melanie Jackson,5,1,5,11,High
43870,Kimberly Daugherty,5,1,5,11,High
17220,Brittney Lee,4,2,4,10,High
44107,Timothy Bowman,5,2,4,11,High
3661,Sonya Lamb,4,2,4,10,High
20756,Heather Rivera,5,2,4,11,High
13264,Nicolas Andrews,4,2,4,10,High
33729,Joseph Robinson,1,3,3,7,Low
45770,Bradley Yates,5,1,5,11,High
47530,Timothy Paul,2,4,2,8,Med
9077,Tom Velasquez,5,2,4,11,High
46742,Kevin Williams,5,2,4,11,High
11567,Steven Scott,4,2,4,10,High
2929,Steven Kennedy,3,3,3,9,Med
43526,Holly Jackson,5,2,4,11,High
33766,Casey Perez,4,2,4,10,High
12204,Billy Bush,4,3,3,10,High
14740,Darryl Benson,3,5,1,9,Med
47599,Janet Wilcox,4,2,4,10,High
39407,Mary Decker,4,2,4,10,High
14847,Ashley Grimes,4,1,5,10,High
38817,Amber Meyer,4,3,3,10,High
21884,Meghan Diaz,3,3,3,9,Med
43666,Brandi Zuniga,4,2,4,10,High
49605,Anthony Henry,2,3,3,8,Med
128,Michael Morales,5,1,5,11,High
45605,Amy Figueroa,5,2,4,11,High
45516,George Barron,4,2,4,10,High
8540,Wanda Hubbard,3,2,4,9,Med
3449,Kevin Matthews,4,2,4,10,High
23340,Nina Moss,5,1,5,11,High
1326,Margaret Warren,2,3,3,8,Med
8392,Monica Kennedy,5,2,4,11,High
35292,Renee Jones,4,2,4,10,High
41682,Miranda Bowman,1,5,1,7,Low
23578,Tyler Lopez,5,2,4,11,High
8508,Crystal Brown,3,3,3,9,Med
46818,Jason Hale,4,2,4,10,High
6853,Paul Gutierrez,4,3,3,10,High
19091,Thomas Anderson,5,2,4,11,High
12955,Jim Boyd,1,5,1,7,Low
37564,Larry Brooks,3,2,4,9,Med
30608,Kimberly Cantu,2,4,2,8,Med
29262,Julie Vazquez,3,3,3,9,Med
7727,Paul Wallace,1,5,1,7,Low
47024,John Scott,4,2,4,10,High
19512,Isaac Santiago,2,3,3,8,Med
28850,Stephen Walls,5,3,3,11,High
2941,Vanessa Harris,3,5,1,9,Med
46909,Jose Arellano,5,1,5,11,High
25472,Jonathan Weaver,2,4,2,8,Med
3678,Brian Cooper,2,4,2,8,Med
18461,Teresa Hull,1,5,1,7,Low
45465,Kimberly Johnson,4,3,3,10,High
4616,Andrew Garcia,4,3,3,10,High
2909,Paul Willis,5,1,5,11,High
27146,Alex Moore,4,2,4,10,High
9434,Kelly Tucker,3,4,2,9,Med
42622,Katie Prince,1,5,1,7,Low
10725,Stephanie Frazier,4,3,3,10,High
2915,Willie Thompson,1,5,1,7,Low
44488,Frank Gutierrez,2,5,1,8,Med
11432,Jordan Walter,3,4,2,9,Med
45614,Michael Castillo,2,4,2,8,Med
13815,Ian Carroll,1,5,1,7,Low
30791,Benjamin Howard,2,5,1,8,Med
46327,Mr. Patrick Hayes PhD,5,2,4,11,High
611,Melissa Sosa,2,5,1,8,Med
40140,James Lawson,1,5,1,7,Low
8999,Annette Green,4,2,4,10,High
995,Rebecca Green,4,3,3,10,High
45071,Logan Acosta,4,3,3,10,High
35755,Mr. Richard Hendricks,1,5,1,7,Low
13704,Carrie Hughes,4,3,3,10,High
33498,Tammy Bell,4,2,4,10,High
15110,Christina Nguyen,5,2,4,11,High
35321,Roger Garcia,5,1,5,11,High
7038,Amy Smith,1,5,1,7,Low
8822,John White,3,3,3,9,Med
15665,Kevin Green,5,2,4,11,High
14717,Elizabeth Joyce PhD,4,2,4,10,High
28756,Philip Walker,1,5,1,7,Low
33869,Jon Torres,5,2,4,11,High
4502,Mark Carter,4,2,4,10,High
34513,Anita Carter,1,5,1,7,Low
32915,Amy Moran,4,3,3,10,High
31747,Jay Webster,3,4,2,9,Med
30626,Amanda Martin,5,2,4,11,High
2421,Jessica Weeks,2,5,1,8,Med
26754,Aaron Martin,4,3,3,10,High
17633,Nicholas Martinez,5,2,4,11,High
27724,Julia Delgado,5,1,5,11,High
13072,James Schultz,2,2,4,8,Med
27122,Heather Jackson,3,4,2,9,Med
22666,Amber Smith,3,3,3,9,Med
49939,William Torres,2,5,1,8,Med
18761,Jennifer Elliott,3,4,2,9,Med
34066,Jonathan Potts,2,5,1,8,Med
7708,Mary Fleming,2,4,2,8,Med
33062,Eileen Joseph,2,4,2,8,Med
37256,Jessica Wiley,1,5,1,7,Low
10556,Jeremiah Lewis,3,4,2,9,Med
24012,Melanie Gordon,2,4,2,8,Med
33460,Samuel Welch,2,4,2,8,Med
21975,Jose Green,4,4,2,10,High
48952,Brenda Mills,3,4,2,9,Med
1929,Aaron Lowe,3,3,3,9,Med
2589,Emily Barnett,2,5,1,8,Med
10444,Jessica Stanley,4,3,3,10,High
32560,Patricia Clark,2,4,2,8,Med
37890,Laura Gray,1,4,2,7,Low
9731,Connor Lane PhD,1,5,1,7,Low
