customer_id,customer_name,customer_age,gender,order_count,orders_returned,total_churn,tenure_days,average_total_per_cart,total_qty_purchased,total_spent_historic
11818,Joseph Perez,20,Male,4,1.0,0,1162,236.75,11,16079
42258,Brittany Moore,63,Female,3,2.0,0,411,244.33333333333334,6,11998
131,Stephanie Burch,29,Male,8,4.0,0,875,145.875,26,28943
12521,Maria Schultz,28,Female,5,3.0,0,1072,285.4,12,15843
31837,Aimee Johnson,48,Female,7,3.0,0,1075,354.42857142857144,17,20494
17084,Samuel Barnes,45,Male,5,2.0,0,863,174.8,10,18102
3349,Dylan Benjamin,56,Male,4,0.0,0,551,287,11,15445
24187,Kathleen Rodriguez,61,Female,6,4.0,6,626,238.83333333333334,23,20017
11561,Anthony Long,21,Female,9,8.0,0,1119,254.44444444444446,24,20398
26112,Lisa Crawford,22,Male,6,3.0,6,651,229.16666666666666,15,14891
3781,Justin Logan,60,Female,4,3.0,0,1123,151,11,7147
19644,Marilyn Morales,29,Female,4,1.0,0,745,383.75,13,8165
20365,Phillip Stein,26,Female,7,3.0,0,1159,282.85714285714283,14,21274
42122,Mr. Donald Johnson DVM,42,Female,6,3.0,0,797,326,16,14530
14877,Teresa Griffin PhD,55,Female,7,1.0,0,1099,188.71428571428572,22,19762
41213,Brianna Carrillo,26,Female,4,1.0,4,861,277.5,11,11677
12197,Phillip Black,23,Female,9,1.0,0,1315,299.44444444444446,23,29215
1378,Bianca Allen,62,Female,3,2.0,0,1186,228,8,6216
24903,Amy Moreno,30,Female,8,2.0,0,1305,131.75,21,15296
27178,Kyle Garcia,41,Female,4,1.0,0,1152,313.75,11,14631
8286,James Nielsen,30,Female,4,3.0,0,676,422.25,11,15567
26929,Glenda Summers,69,Male,7,3.0,0,1107,257.2857142857143,24,21161
37259,Kenneth Ortega,37,Male,4,2.0,4,730,327.5,13,15387
43674,Christopher Day,34,Male,3,0.0,0,1029,230.33333333333334,9,6206
15154,George Ortiz,20,Female,4,2.0,4,1122,177,11,10337
28753,Michael Sanchez,41,Male,7,4.0,7,1212,188.71428571428572,19,18602
6467,Brian Hall,65,Male,5,1.0,0,1110,232.4,16,15145
619,Daniel Patel,55,Female,2,0.0,0,176,65,7,6692
31986,Jesse Mckinney,28,Male,4,3.0,0,382,110.5,19,10800
9290,Cynthia Rivera,49,Male,6,2.0,6,543,240.83333333333334,17,18563
24919,Susan Carter,68,Male,7,1.0,0,1208,263.85714285714283,19,21786
39787,Jasmine Patrick,67,Male,5,1.0,5,1028,308.2,16,15348
33783,John Saunders,58,Male,5,3.0,5,598,168.8,13,17951
12684,Sarah Patel,37,Female,3,3.0,0,616,257.6666666666667,14,10170
34090,Michelle Coleman,47,Male,4,2.0,0,1006,292.25,13,14341
23372,Jacob White,23,Female,7,1.0,0,1048,204.57142857142858,19,11699
48981,Diana Fletcher,34,Female,7,3.0,0,1301,213.42857142857142,29,24142
8522,Eric Morrow,53,Male,6,3.0,0,1103,195.83333333333334,19,20212
43675,Kayla Wright,69,Female,4,1.0,0,518,322.25,7,10150
34325,Ricardo Nichols II,53,Male,10,5.0,0,1024,300.9,31,28451
5177,Mark Thomas,34,Male,6,5.0,0,758,330.6666666666667,14,19686
10945,Michael Smith,66,Female,4,2.0,4,853,239.5,12,13081
34003,Sabrina Holden,19,Male,7,5.0,0,1247,147.28571428571428,17,15968
23779,Kelly Lawrence,67,Female,8,5.0,0,1258,214.125,26,29150
4369,Mary Chandler,23,Male,10,5.0,10,1221,261.4,31,30956
46727,Russell Ramos,22,Male,8,4.0,8,1282,240.5,25,19264
800,Ronald Mckee,24,Female,4,3.0,0,1012,240,14,12996
20093,Cynthia Shields,44,Female,4,1.0,4,956,268.5,11,7275
6289,Thomas Warren,69,Male,7,3.0,0,939,284.7142857142857,21,16767
45520,Trevor Rojas,36,Male,2,2.0,2,598,327,10,5172
27260,Ray Chaney,66,Female,6,3.0,0,795,203.16666666666666,19,17319
7913,Keith Camacho,34,Male,8,4.0,8,1003,302.375,22,27294
34415,Dominic Washington,19,Male,4,0.0,4,311,182.5,15,17431
24149,Melinda Jackson,35,Female,6,1.0,0,1139,211.33333333333334,13,12209
41351,Christopher Nguyen,42,Male,6,5.0,0,904,243.5,21,12258
49423,Brandon Lawson,18,Female,8,4.0,0,1022,214,21,23879
35834,Emily Lawson,70,Female,5,4.0,0,710,107.6,20,16138
32727,Evan Baker,55,Female,2,0.0,2,692,224.5,8,5526
36995,Jennifer Campos,40,Male,4,1.0,0,546,306,16,13395
34310,Paula Roberts,68,Female,9,3.0,0,1247,235.55555555555554,26,27018
5776,Sabrina Johnson,70,Female,3,0.0,0,453,448.3333333333333,9,10741
25287,Pamela Weber,58,Female,3,0.0,0,921,199.33333333333334,8,5914
6421,Michael Smith,26,Male,5,1.0,0,820,219.6,19,18571
17626,Bruce Watson,45,Female,8,2.0,0,899,306,18,23648
47694,Lisa Jennings,30,Female,7,6.0,0,858,255.71428571428572,22,15588
23981,Vanessa Lyons,18,Female,2,0.0,2,874,347,5,6528
35544,Cynthia Doyle,47,Male,5,0.0,5,1100,182.4,12,10918
35186,Michael Cole,27,Female,11,5.0,0,1045,161.72727272727272,33,30646
41400,Karen Barker,43,Female,7,4.0,0,816,253.71428571428572,22,18620
38237,Carolyn Parsons,27,Female,1,1.0,1,0,295,4,3030
2428,William Hopkins,23,Female,8,4.0,0,1154,348.5,31,19276
8106,Steven Mayer,48,Female,6,2.0,0,1216,246.66666666666666,18,15851
17252,Troy Johnson,51,Female,5,2.0,0,1250,180.2,15,14641
5009,Brooke Martin,28,Male,3,1.0,0,597,366.6666666666667,8,10844
4524,Mrs. Sierra Harvey DDS,26,Female,3,0.0,0,234,283.3333333333333,9,8255
43185,Melvin Howell,50,Male,5,3.0,0,811,319.8,18,10287
19670,Robert Taylor,21,Female,7,4.0,0,1055,262,21,12525
29433,Colleen Kennedy,67,Female,8,6.0,8,1191,233.375,19,22019
34456,John Flores,34,Female,9,3.0,0,796,193.11111111111111,30,21737
39463,Melissa Wyatt,44,Female,7,2.0,0,1123,256.57142857142856,23,21017
14903,Arthur Aguirre,69,Female,6,4.0,0,926,276.1666666666667,19,14134
6908,Michelle Glover,64,Female,5,2.0,0,820,146.8,11,16054
6375,Angela Tyler,41,Male,2,1.0,0,975,315.5,7,5477
7012,Paula Smith,28,Male,7,6.0,0,1108,312.2857142857143,25,17958
48181,Daniel Nguyen,63,Female,7,2.0,7,695,337.57142857142856,17,25266
554,James Howell,33,Female,6,2.0,0,976,271.1666666666667,20,16469
4438,Lori Thompson,42,Male,5,2.0,5,453,157.2,18,13223
23772,Jacob Pena,47,Female,6,1.0,6,1281,211.66666666666666,23,10255
3127,Julie Vega,56,Male,4,2.0,0,724,408.25,12,14100
36218,Nicole Schultz,28,Female,6,1.0,0,514,289.8333333333333,18,19856
35061,Jennifer Matthews,31,Female,5,1.0,0,1130,241.4,13,12074
40304,Laura Carpenter,30,Female,4,1.0,4,1069,336.75,7,7621
28520,Ian Martinez,33,Female,2,1.0,0,1031,364.5,7,4465
18834,Lisa Mullins,24,Male,4,1.0,0,755,210.5,16,6381
23541,Stacey Mcintyre,34,Female,3,1.0,3,81,286.3333333333333,12,12676
28026,David Moore,23,Male,8,2.0,0,1193,195.25,29,21728
15060,Annette Phillips,56,Male,6,0.0,0,1309,263.5,14,11707
46425,Christopher Adams,28,Male,5,3.0,5,961,371.6,14,11232
49353,Connie Smith,19,Male,2,1.0,0,44,341,4,3791
28439,Olivia Payne,66,Male,7,3.0,0,734,338.42857142857144,22,16194
48436,Katelyn Hansen,42,Female,6,4.0,0,1238,310.5,23,21451
49231,Shari Roberts,68,Male,3,1.0,0,961,264,8,9237
7563,Zachary Butler,41,Male,4,2.0,0,777,223.75,13,10040
22625,David Davis,59,Male,4,3.0,0,790,233.25,12,15990
15217,Natasha Wilkins,34,Male,6,3.0,0,421,249.16666666666666,20,10605
30623,Chad Thomas,40,Male,8,4.0,0,1151,313.25,21,28998
45930,Michelle Brandt,50,Female,3,0.0,0,688,267.6666666666667,5,8532
25885,Claire Ramirez,26,Male,6,2.0,0,1007,168.83333333333334,14,15696
154,John Lewis,45,Female,9,4.0,0,1248,347.22222222222223,22,25380
23049,Frederick Giles,27,Male,5,3.0,5,497,277,14,14075
28999,Karen Nicholson,43,Male,4,2.0,0,654,223,18,15980
26898,Lori Taylor,50,Male,2,1.0,0,560,176.5,6,7707
16277,Nancy Ferguson,55,Male,2,1.0,0,691,235,6,1974
23668,Shawn Daniels,36,Male,7,2.0,0,1165,255.71428571428572,21,16553
36011,Jay Clark,19,Female,10,5.0,0,938,210.2,26,22385
36560,Danielle Johnson,42,Male,10,5.0,10,1052,271.7,30,28261
15579,James Wiley,55,Male,5,2.0,0,1067,307.6,19,13828
22652,Richard Marshall,19,Male,5,4.0,0,1218,354.6,17,10338
10833,Karen Cox,70,Female,3,0.0,0,879,418.6666666666667,6,10850
8985,Patrick Fitzpatrick,69,Male,6,3.0,0,1027,135.66666666666666,15,16068
34585,Alan Mcintosh,44,Female,3,2.0,0,740,163,7,6135
12999,Gary Flores,37,Male,6,2.0,0,916,296.1666666666667,20,23070
28051,Maria Robinson,32,Female,7,3.0,7,752,331.14285714285717,29,9698
848,Margaret Freeman,37,Female,4,2.0,0,565,149,15,8345
4509,Kevin Brown,36,Male,4,3.0,0,595,286,16,10185
722,John Johnson MD,55,Female,7,3.0,0,1294,272.7142857142857,21,21573
29208,Christopher Gordon,35,Female,5,0.0,0,1012,176.2,16,9245
9670,Melanie Newman,38,Female,5,4.0,0,1110,174.2,14,16200
47188,Melissa Foster,45,Male,2,1.0,0,481,350.5,8,3920
23170,Gabrielle Watson,60,Male,4,0.0,0,774,354,12,9602
20477,Jordan Reyes,33,Female,5,2.0,0,592,200.8,20,11922
46988,Krystal Rush,68,Female,4,1.0,0,499,244,9,8477
31762,Charles Johnson,69,Male,5,1.0,0,707,151,9,16870
27117,Robert Levine,56,Female,9,1.0,0,1186,132.22222222222223,34,19842
45458,David Kennedy,50,Female,9,3.0,9,1257,322,26,25053
15776,Brandi Randall,63,Female,3,0.0,0,187,226.66666666666666,8,7351
27264,Deborah Huber,28,Female,4,2.0,4,1178,308.75,9,10497
3118,Cory Wheeler,38,Male,6,1.0,0,591,233,24,13566
48664,Devin Rodriguez,34,Male,7,3.0,0,1287,222.85714285714286,18,23317
31438,Matthew Harvey,35,Female,4,0.0,0,451,231,11,15653
36538,Ryan Adkins,21,Male,5,1.0,0,1236,163,16,14643
15948,Jennifer Harris,50,Male,7,4.0,0,1016,248.71428571428572,21,12767
26805,April Garcia,56,Male,4,1.0,0,524,98.25,12,9508
21727,Megan Smith,38,Male,6,2.0,6,727,286.8333333333333,22,18984
16596,Rhonda Rodriguez,52,Male,4,0.0,4,1055,236.25,12,16278
36166,Tina Schaefer,46,Female,4,0.0,0,1103,220,13,12800
38394,Melissa Howard,46,Female,7,4.0,7,1263,280,27,21319
2608,Andrew Howard Jr.,53,Female,5,3.0,0,1307,273.4,15,10656
38191,Timothy Wilkinson,51,Male,4,1.0,4,1133,200.5,13,8697
1604,Robert Moore,25,Male,5,1.0,0,1093,179.6,12,13828
25272,Nathan Rogers,33,Female,4,2.0,0,445,150.5,13,7771
13911,Cody Baker,68,Female,3,1.0,0,910,212.66666666666666,6,6765
47443,Elaine Schneider,23,Female,5,2.0,0,1022,125.8,8,13672
33633,Joseph Roy,29,Female,4,2.0,0,983,218.25,15,12212
45280,Jeffrey Ford,30,Female,7,2.0,0,1006,282.85714285714283,23,15928
36480,Carla Shaw,47,Female,5,2.0,0,928,232.4,17,13007
27395,Erika Strickland,33,Female,8,4.0,0,944,233.5,23,11160
7822,Monica Estes,51,Male,4,2.0,0,623,308.75,11,7822
34274,Richard Watkins,40,Male,8,1.0,0,1314,210.5,30,17751
25613,Timothy Medina,26,Male,3,3.0,0,152,371,5,6659
37877,Regina Ruiz,21,Female,2,1.0,0,1098,254,6,5234
15863,James Peterson,30,Male,6,4.0,0,1024,349.1666666666667,18,17237
36744,Stephanie Gomez,56,Female,2,0.0,0,305,349,2,2901
31916,Jeff Leonard,61,Female,4,3.0,4,1012,230,8,12759
40544,Alison Gilbert,34,Male,5,1.0,0,1304,203.8,16,14267
7069,Alan Moore,53,Female,4,2.0,0,800,295,14,7758
32463,James Barry,66,Male,3,1.0,0,62,258.3333333333333,14,6632
17934,Mr. Steven Roberson,65,Female,6,5.0,0,701,233.16666666666666,21,16851
20309,Karen Mata,69,Male,6,4.0,0,969,296.1666666666667,19,14452
9140,Brianna Martin,36,Female,7,3.0,0,1006,303.42857142857144,27,19952
46343,Becky Vazquez,69,Male,6,3.0,0,800,216.33333333333334,25,18968
5215,Terri Lynch,67,Female,4,2.0,0,518,265.25,12,14491
15998,Christopher Olson,26,Female,9,7.0,0,962,223.22222222222223,26,23462
30144,Justin Craig,61,Female,6,2.0,6,980,218,17,22016
28800,Karl Bailey,18,Female,5,1.0,5,838,324,14,16943
24075,Mrs. Taylor Winters,66,Male,3,1.0,3,1058,356.6666666666667,6,9518
35421,Brandon Valdez,41,Male,2,1.0,0,25,304.5,5,6989
29763,Sarah Torres,58,Male,8,1.0,0,1239,202.25,24,22962
20896,Lance Gray,26,Female,9,3.0,0,1109,219.22222222222223,34,22191
5454,Ryan Willis,42,Male,9,2.0,0,1232,249.22222222222223,29,27684
2938,Antonio Jones,35,Male,6,1.0,0,914,281.3333333333333,15,11106
8389,Ana Stephenson,36,Male,8,2.0,0,1099,305.375,23,21271
32735,Michael Martinez,70,Female,4,1.0,0,1273,404.75,16,9233
38047,Joseph Reyes,53,Female,6,1.0,0,896,223.33333333333334,21,20363
4795,Melissa Vega,55,Male,7,2.0,0,1001,333.85714285714283,26,18239
39581,Matthew Carr,26,Female,10,3.0,0,994,274.4,25,25729
33189,Angela Gross,32,Female,9,5.0,0,1149,212.44444444444446,24,18638
21941,Clinton Ramsey,37,Female,5,3.0,0,895,328,18,15489
33063,Tammy Murphy,35,Female,8,4.0,0,1247,236,15,15398
47267,Christopher Peterson,61,Female,6,2.0,0,906,182.66666666666666,25,15916
36025,Karen Matthews,63,Female,3,1.0,0,223,136,10,9009
19766,Holly Jackson,29,Female,8,6.0,0,831,203.25,26,16654
31708,Johnny Berger,47,Female,6,2.0,0,1122,189.16666666666666,13,18346
38033,Vanessa Bright,64,Male,6,0.0,0,991,195.5,18,14164
25598,Logan Wade,63,Male,3,,3,823,343.3333333333333,6,11265
38058,Jonathan Walker,22,Male,7,3.0,7,774,370.42857142857144,22,16914
19739,Gregory Davis,68,Male,6,2.0,0,241,354.6666666666667,14,19860
649,Chris Byrd,34,Female,6,4.0,0,635,172.33333333333334,19,14469
41810,Aaron Jones,28,Male,9,4.0,0,1213,208.66666666666666,19,19954
6744,Casey Sanchez,34,Male,5,4.0,5,302,243.4,19,13034
44703,Patricia Martin,31,Male,6,4.0,0,758,287,21,11702
49812,Gary Harris,40,Female,7,6.0,0,478,255.71428571428572,24,20674
34695,Paige Mathews,70,Male,5,2.0,0,799,185.4,13,17923
10712,Katie James,39,Male,7,2.0,0,1058,189.14285714285714,27,18297
28435,Joseph Hart,23,Female,4,2.0,0,586,198,14,14036
29154,Nancy Brown,53,Female,6,3.0,6,1030,189.83333333333334,15,25408
34867,Whitney Lopez,40,Female,7,2.0,0,984,293.85714285714283,28,11433
8702,Donna Jones,46,Male,6,1.0,0,867,324,18,14300
21243,Elizabeth White,30,Female,4,1.0,0,758,358.5,15,2883
15883,Mr. Thomas Benitez,66,Female,3,2.0,0,444,256,8,11089
46223,Laurie Tate,62,Male,6,1.0,6,1094,264.1666666666667,23,13845
1926,Steven Cole,53,Female,7,4.0,0,661,205.57142857142858,22,17564
40823,Diane Garcia,30,Male,3,0.0,0,201,319.3333333333333,6,9000
23508,Heather Nguyen,43,Male,3,1.0,0,526,185.66666666666666,8,5428
1748,Timothy Martin,36,Female,7,3.0,0,1056,263.7142857142857,15,19046
48555,Jeffrey Phillips,20,Female,6,2.0,0,1183,294.8333333333333,14,14049
22802,Daniel Sullivan,22,Female,7,4.0,7,976,278,22,7179
40615,Michael Moore,21,Male,2,2.0,0,561,205.5,7,5961
48379,Belinda Wong,51,Male,2,0.0,0,988,319,7,2611
46809,Bobby Vasquez,63,Female,8,2.0,0,821,302.5,27,28323
39693,Mario Torres,60,Male,3,2.0,0,336,327.6666666666667,7,10358
27802,Kim Holland,67,Male,2,1.0,0,153,166.5,4,7467
41741,David Williams,43,Male,4,0.0,0,1147,291.75,11,12349
19867,William Goodwin,38,Female,4,3.0,0,1090,198.25,14,13177
7332,Darius Perry DVM,59,Male,2,1.0,0,74,390.5,6,3066
49026,Zachary Perry,37,Male,8,5.0,8,1289,314.125,25,19089
41280,William Gray,20,Male,7,4.0,0,984,267.42857142857144,17,20586
37785,Scott Schultz,28,Female,7,2.0,7,1169,364.14285714285717,20,27148
12281,Jacqueline Richmond,37,Female,5,3.0,5,801,214.6,18,16327
48631,John Norton,36,Male,7,3.0,0,870,220.85714285714286,22,15101
26992,Samantha Tyler,42,Male,5,2.0,0,1118,376.4,15,13078
46992,Mrs. Maria Reyes,48,Female,5,1.0,0,308,263.6,21,15256
41740,Elizabeth Williams,69,Female,5,1.0,0,1052,196.2,18,12066
30369,Donald Edwards,49,Female,5,1.0,5,813,267.6,18,13026
42292,Anthony Barnes,48,Female,6,5.0,0,1108,262.1666666666667,23,21679
10582,Suzanne Benton,19,Male,10,4.0,0,1067,202.4,33,32612
5331,Wayne Powers,22,Male,7,3.0,7,921,282.42857142857144,15,20362
3285,Troy Anderson,59,Male,8,5.0,0,1279,220.125,24,24488
8809,Nicole Allen,25,Male,7,1.0,0,992,177.28571428571428,19,20491
34877,Donna Erickson,42,Male,6,2.0,0,848,293.6666666666667,18,16788
40680,Catherine White MD,62,Female,5,3.0,0,1005,224.2,15,17178
21241,Angela Fields,44,Female,6,2.0,0,645,264.8333333333333,16,9165
44650,Brittany Webster,67,Male,7,2.0,0,887,179.85714285714286,20,23747
14010,Alicia Edwards,31,Male,5,2.0,5,1043,293.4,16,17194
8440,Stefanie Mitchell,35,Female,10,4.0,0,1099,224,29,28531
19484,Paul Luna,68,Male,3,1.0,0,366,90,8,9589
46779,Amy Lynn,34,Female,3,2.0,0,964,252,7,4900
12622,Gloria Davis,46,Female,2,0.0,0,773,181,5,3236
10093,Paul Davis,61,Female,8,3.0,0,1118,208.875,30,20563
1183,David Rogers,31,Female,5,2.0,0,1222,292.6,20,17407
47962,Rhonda Jones,25,Female,4,0.0,4,904,383.25,8,11406
35817,Debra Oconnell,51,Female,8,4.0,0,842,325.5,23,24612
32252,Matthew Ward,64,Female,7,2.0,7,948,173.85714285714286,30,16865
23004,Michael Garza,62,Female,4,2.0,0,1125,203.25,14,11319
11760,Kevin Murphy,33,Female,6,2.0,0,774,327.8333333333333,14,20930
35728,Dustin Young,56,Female,7,0.0,7,813,188.71428571428572,22,17930
32793,Aaron Cochran,66,Male,7,1.0,0,676,273.85714285714283,24,23319
20080,Jasmin Shaffer,52,Female,3,1.0,0,506,293.3333333333333,5,9241
2543,Bonnie Peck,38,Male,7,4.0,0,1026,266.42857142857144,24,14183
13773,Dylan Brock,51,Male,5,0.0,0,1301,325.4,15,11913
872,Carol Beck,46,Female,4,1.0,0,489,166.75,14,15511
4946,Jonathon Hubbard,56,Male,6,2.0,0,1281,275.1666666666667,13,20895
44819,Amanda Smith,64,Male,5,1.0,0,800,272,14,14440
29676,Jerry Gilmore,62,Female,5,3.0,0,396,211.2,18,13664
36816,Paige Wells,19,Female,3,0.0,0,793,280.6666666666667,12,11337
17369,Sarah Moreno,41,Female,6,2.0,6,892,224.33333333333334,16,18840
40629,Richard Ryan,67,Male,3,1.0,0,207,243.66666666666666,4,8695
34005,Mark Martin,70,Female,5,4.0,0,604,342.2,17,10892
38821,Kristina Reed,31,Male,7,3.0,7,901,226.14285714285714,21,20656
41738,Donald Hernandez,30,Female,5,1.0,5,1248,334.4,18,12373
24628,Kevin Hampton,53,Male,7,3.0,7,1003,253.28571428571428,20,19761
6877,Sally Garcia,53,Male,8,6.0,0,1100,314.875,22,12879
32302,Carmen Hamilton,45,Male,3,1.0,0,478,233,14,9241
44308,Shawn Johnson,40,Male,5,0.0,0,1296,248.8,15,14040
