customer_id,customer_name,customer_age,gender,order_count,orders_returned,total_churn,tenure_days,average_total_per_cart,total_qty_purchased,total_spent_historic,payment_creditcard,payment_debit,payment_crypto,payment_paypal,payment_cash,cat_electronics,cat_home,cat_clothing,cat_books
41169,Debra Welch,58,Female,5,3.0,5,1204,311.2,22,15406,2,0,0,1,2,0,1,1,3
37148,Philip Oneal DVM,39,Female,4,1.0,0,280,152.25,5,12020,0,0,2,1,1,0,1,1,2
45598,Jasmine Hernandez,57,Male,5,2.0,0,961,283,14,9897,4,0,0,0,1,0,1,2,2
2356,Edward Wells,70,Male,4,1.0,0,1074,267.5,13,17300,4,0,0,0,0,2,0,2,0
31443,Mrs. Kathryn Nicholson,51,Male,5,2.0,0,1025,289,12,16134,3,0,0,1,1,1,2,2,0
20111,Dr. Ronald Barnes,64,Female,9,5.0,0,1195,317.3333333333333,38,27416,3,0,1,3,2,2,1,1,5
37085,James Young,48,Female,8,4.0,8,1115,224.125,24,16951,1,0,2,2,3,0,0,2,6
30101,Catherine Edwards,20,Male,5,1.0,0,1085,310.4,19,11052,2,0,0,3,0,1,1,2,1
41301,Benjamin Wall,32,Female,5,2.0,0,724,333.2,22,12476,3,0,0,1,1,0,0,3,2
20644,Laura Heath DDS,22,Female,9,3.0,0,857,176.33333333333334,31,23015,3,0,2,3,1,2,2,3,2
48465,Laura Reyes,70,Female,7,5.0,7,1245,322,15,23075,2,0,1,4,0,1,0,3,3
27737,Breanna Simmons,26,Male,2,2.0,0,46,375.5,4,6029,2,0,0,0,0,0,1,0,1
7308,Mrs. Erica Rodriguez,37,Male,9,4.0,9,1155,346.8888888888889,29,27607,3,0,0,3,3,1,0,2,6
30795,Christopher Harris,38,Female,6,2.0,6,937,299.1666666666667,16,17424,4,0,0,2,0,0,1,3,2
236,Christopher Williams,23,Male,7,0.0,0,996,339.85714285714283,22,18070,5,0,0,1,1,2,1,2,2
19270,Timothy Smith,21,Female,9,6.0,0,1213,228.22222222222223,22,27478,3,0,1,1,4,3,3,2,1
20403,John Graham,59,Male,5,2.0,0,530,259.2,8,8143,1,0,1,1,2,0,1,2,2
13185,Lisa Green,32,Female,9,4.0,0,1114,235.33333333333334,29,20685,5,0,1,3,0,1,3,1,4
46188,Dr. Jamie Williams,23,Male,7,3.0,0,1191,259.57142857142856,20,24492,4,0,0,2,1,2,0,2,3
39479,Theodore Guerra,67,Female,3,1.0,0,173,164,11,8375,1,0,0,2,0,1,1,1,0
15711,William Black,65,Male,3,1.0,0,471,86,7,11037,1,0,0,1,1,0,0,1,2
7244,Gregory Richards,24,Male,1,,0,0,107,2,1493,1,0,0,0,0,0,1,0,0
948,Susan Reid,48,Female,9,5.0,0,1231,239.88888888888889,30,18961,4,0,0,2,3,3,2,0,4
31021,Julia Davis,59,Female,7,3.0,0,780,185.57142857142858,17,18840,3,0,1,1,2,3,1,1,2
26980,Sabrina Becker PhD,27,Male,3,2.0,0,1049,237.33333333333334,8,7302,1,0,0,1,1,1,0,2,0
37464,Matthew Mitchell,54,Female,7,3.0,0,325,269.7142857142857,21,24144,4,0,1,1,1,2,1,2,2
20320,Tanner Washington,38,Male,11,4.0,0,1029,244.8181818181818,31,34627,2,0,1,5,3,2,3,2,4
22358,Cory Long,42,Male,7,1.0,0,1206,358.2857142857143,21,12947,4,0,1,1,1,1,0,2,4
30334,Brian Smith,62,Female,6,2.0,0,1016,242.5,18,11354,1,0,1,2,2,1,1,2,2
26695,Madeline Boyd,46,Male,8,3.0,0,1193,204,28,19641,5,0,0,2,1,0,3,3,2
36947,Joshua Tran,51,Male,6,3.0,0,961,265,13,15075,5,0,0,0,1,3,2,0,1
19034,Heather Bonilla,64,Male,3,1.0,0,129,160,10,13469,0,0,0,2,1,0,2,1,0
42098,Barbara Reynolds,65,Female,3,2.0,0,414,313,11,9866,1,0,1,1,0,1,0,0,2
2129,Joseph Harris,34,Female,2,0.0,2,332,132.5,8,4409,2,0,0,0,0,1,0,1,0
15553,Jose Garcia,34,Male,5,0.0,0,1176,225,16,13612,2,0,0,2,1,0,1,2,2
40835,Jonathon Harrington,52,Female,2,1.0,0,244,254,10,6144,0,0,0,1,1,0,1,1,0
49239,Taylor Morse,26,Female,11,3.0,0,1176,354.90909090909093,32,21839,8,0,1,1,1,0,2,7,2
25863,Steven Guerrero,34,Male,5,1.0,5,1209,258.2,17,17297,4,0,0,1,0,1,1,1,2
24705,Michael Shaw,24,Male,8,6.0,0,1121,278.125,26,19035,4,0,0,3,1,0,2,4,2
49871,Michael Padilla,34,Male,4,0.0,0,791,155,8,9699,2,0,0,0,2,2,0,1,1
26987,Robert Garcia,44,Male,7,3.0,0,1170,200.85714285714286,24,20912,7,0,0,0,0,0,2,1,4
48538,Jennifer Hall,69,Female,3,1.0,0,430,234,8,7493,0,0,1,1,1,0,0,2,1
17366,William Donovan,19,Male,4,3.0,0,744,226.75,9,8386,2,0,1,1,0,1,1,0,2
4608,Amy Nunez,55,Male,6,4.0,0,854,219,18,17702,1,0,0,2,3,2,1,3,0
36844,Charles Vance,41,Male,7,3.0,7,670,231.71428571428572,18,24543,1,0,0,4,2,0,2,3,2
31056,Sonya Pineda,52,Female,10,1.0,0,1182,238,29,27108,5,0,1,2,2,2,1,3,4
46609,Sean Brown,51,Female,6,0.0,0,735,336.8333333333333,16,13588,3,0,1,0,2,0,1,2,3
33395,Robert Bowen,35,Male,8,5.0,8,1136,229.75,20,23829,1,0,0,3,4,2,2,1,3
34553,Daniel Scott,60,Male,5,3.0,0,588,141.6,17,7615,1,0,0,3,1,1,3,1,0
37560,Ana Patterson,29,Male,9,2.0,9,907,268.22222222222223,23,18484,3,0,0,6,0,2,1,5,1
30632,Daniel Newman,28,Female,8,4.0,0,1145,239.25,26,24332,4,0,0,2,2,1,3,2,2
35724,John Martinez,18,Female,4,3.0,0,1003,288,10,9075,0,0,1,3,0,0,0,0,4
37304,Michelle Lewis,70,Female,6,2.0,6,875,139.83333333333334,20,17999,4,0,1,1,0,1,1,2,2
34203,Troy Armstrong,34,Female,3,1.0,3,536,180,8,10487,0,0,0,1,2,0,1,1,1
20837,Brent Adams,34,Female,11,4.0,0,1045,268.90909090909093,24,29693,1,0,1,5,4,3,2,5,1
44212,Joshua Adams,42,Female,3,0.0,3,167,277,12,7354,0,0,0,2,1,1,1,0,1
47247,Nicole Hill,48,Male,6,4.0,0,987,263.1666666666667,18,12276,1,0,0,3,2,0,1,3,2
20445,Richard Wilson,26,Male,8,5.0,0,1034,247,28,18238,2,0,2,1,3,2,0,0,6
42672,Jordan Foster,45,Male,3,1.0,3,773,318.3333333333333,10,8932,0,0,0,2,1,0,2,0,1
10589,Richard Jackson,49,Male,7,5.0,0,1040,295.14285714285717,20,20394,4,0,1,0,2,1,3,3,0
36951,Anna Conner,58,Female,5,1.0,0,799,350.2,12,10303,3,0,0,1,1,0,2,2,1
1548,Sydney Sutton,38,Female,2,0.0,0,68,28,7,4683,1,0,0,0,1,1,0,1,0
46251,Christine Hernandez,37,Male,4,0.0,0,622,241,10,10184,1,0,0,3,0,1,2,1,0
7896,Mason Ramirez,66,Male,6,4.0,0,737,258.1666666666667,20,20883,2,0,0,1,3,1,1,1,3
8946,Courtney Lane,39,Male,6,2.0,0,503,299.6666666666667,14,15602,4,0,2,0,0,1,2,2,1
41367,Linda Owens,61,Female,5,4.0,5,1227,249,11,14091,3,0,0,2,0,0,1,3,1
7203,Marcus Wilson,43,Female,8,4.0,0,947,288.75,30,18590,3,0,0,3,2,3,0,3,2
44196,Nathan Nguyen,54,Male,3,2.0,0,1162,322.6666666666667,10,8426,2,0,0,1,0,1,0,2,0
5975,Alexa Cox,47,Female,5,2.0,0,1091,322.4,16,17753,1,0,1,2,1,0,0,4,1
26780,Paul Collier,26,Female,5,1.0,0,1101,255.6,16,13324,2,0,0,3,0,2,1,1,1
47229,Randall Hensley Jr.,44,Male,3,1.0,0,653,224,5,5926,0,0,0,1,2,1,0,2,0
36426,Richard Spencer,61,Female,6,3.0,0,940,233.5,14,11610,1,0,2,2,1,0,1,3,2
8430,Kimberly Bailey,21,Female,8,2.0,0,1000,183.125,20,20697,2,0,1,4,1,3,2,2,1
33807,Jeffrey Burgess,66,Male,10,4.0,0,1253,271,29,29022,5,0,3,1,1,3,2,4,1
11507,Marilyn Ramirez,67,Female,3,2.0,3,347,227.33333333333334,10,6872,1,0,1,0,1,0,2,0,1
2481,Kim Kennedy,44,Male,1,0.0,0,0,320,3,366,1,0,0,0,0,0,0,0,1
29093,Holly Jones,47,Female,11,3.0,11,1223,231.0909090909091,33,27975,5,0,1,3,2,4,1,3,3
47143,Mary Thomas,40,Male,8,6.0,0,1114,295.375,24,26852,3,0,0,4,1,0,1,5,2
14931,Sandra Young,53,Male,1,0.0,0,0,148,3,879,0,0,0,1,0,1,0,0,0
41456,Adam Smith,33,Female,8,4.0,0,1257,282,26,25070,2,0,3,3,0,2,2,3,1
22163,Nathan Brown,34,Female,4,3.0,4,325,252.25,15,8159,0,0,0,1,3,1,0,1,2
7107,Alexandra Green,21,Female,5,2.0,0,825,213.4,15,9087,3,0,2,0,0,0,1,3,1
9744,Robert Romero,68,Male,8,3.0,0,1238,156.75,17,27470,5,0,0,2,1,0,2,2,4
8046,Elizabeth Williams,52,Male,7,0.0,0,1293,253.57142857142858,18,19792,3,0,0,2,2,2,3,1,1
3913,Brian Perry,23,Male,7,4.0,0,703,175.42857142857142,20,19293,5,0,0,2,0,0,1,2,4
1917,Eric Johnson,19,Male,7,5.0,0,1142,294,19,21832,3,0,0,2,2,0,2,3,2
8083,Christopher Phelps,36,Female,3,0.0,3,1000,462.6666666666667,8,8880,1,0,0,1,1,0,1,2,0
28143,Julie Newman,67,Female,3,1.0,0,1275,272.3333333333333,9,7864,1,0,1,1,0,2,0,0,1
41353,Scott Brown,36,Female,6,2.0,0,687,248.66666666666666,18,16731,2,0,0,3,1,1,0,3,2
9550,William Tran,64,Female,4,1.0,0,466,88.75,10,15264,1,0,0,2,1,0,2,1,1
46001,Lisa Chambers,38,Male,10,6.0,0,725,222,20,34659,3,0,3,4,0,2,5,0,3
18557,Kristen Miller,32,Male,6,2.0,0,686,266,14,13863,3,0,1,2,0,1,1,2,2
43234,Lori Chang,19,Male,9,3.0,0,1106,293.44444444444446,32,34000,3,0,0,3,3,2,2,3,2
13802,Jonathan Schroeder,58,Female,13,3.0,0,1285,179.92307692307693,41,46464,4,0,1,7,1,3,1,5,4
9934,Courtney Maynard,36,Female,9,3.0,0,879,237.22222222222223,28,24669,5,0,1,1,2,2,1,4,2
506,Mark Smith,48,Female,9,4.0,9,1122,228.44444444444446,28,16383,4,0,0,3,2,1,1,3,4
44833,Angelica Carter,69,Female,5,2.0,0,1137,369,12,15451,3,0,2,0,0,0,1,2,2
41515,Matthew Davis,24,Male,8,3.0,0,1057,291.25,26,26270,3,0,1,3,1,1,0,3,4
3960,Carlos Rice,20,Female,1,,1,0,373,5,4473,1,0,0,0,0,0,0,1,0
44878,Randall Fuller,44,Male,4,1.0,4,439,338.25,9,10600,2,0,0,0,2,2,0,1,1
25709,Robin Fisher,23,Male,7,4.0,0,983,307.85714285714283,22,13642,5,0,1,1,0,1,2,1,3
6679,Alyssa Anderson,60,Male,6,3.0,6,748,277.1666666666667,12,15612,2,0,0,2,2,0,2,2,2
3904,Sandra Randall,23,Female,7,3.0,7,1029,388.7142857142857,21,18160,5,0,0,1,1,0,3,2,2
23192,Kimberly Matthews,67,Female,8,1.0,0,1256,207,21,25027,3,0,1,4,0,1,2,3,2
10495,Timothy Carson,60,Female,6,1.0,0,1051,207.16666666666666,19,15037,4,0,0,1,1,2,1,1,2
24706,Benjamin Clark,24,Male,3,0.0,0,942,222.33333333333334,13,5217,1,0,0,2,0,0,1,1,1
9316,Joshua Johnson,53,Male,7,3.0,0,714,178.71428571428572,20,21943,4,0,0,1,2,1,0,1,5
7951,Kyle Velazquez,45,Female,7,3.0,0,742,140.14285714285714,15,18658,3,0,1,1,2,4,1,1,1
7359,Jeffrey Marshall,69,Male,4,2.0,4,690,286.75,8,18206,2,0,1,0,1,1,0,3,0
42178,Bonnie Brown,49,Female,4,1.0,4,643,258.75,9,10021,3,0,0,1,0,2,0,0,2
18454,Sergio Wilson,39,Male,6,4.0,6,1287,215,21,19419,4,0,0,2,0,0,1,0,5
43525,Sarah Osborn,23,Male,4,1.0,0,251,341,12,11579,2,0,0,1,1,1,1,1,1
41544,Albert Ortiz,54,Male,8,4.0,0,1122,334.75,33,26776,5,0,1,1,1,5,1,1,1
23833,Michael Johnson,47,Female,7,3.0,0,800,388.2857142857143,22,22087,2,0,2,2,1,2,1,2,2
11146,Sally Sanford,27,Male,5,2.0,5,575,286.4,15,7847,2,0,1,1,1,0,0,2,3
5031,Melissa Sanders,65,Female,6,1.0,0,820,245.83333333333334,21,16956,3,0,0,3,0,1,2,1,2
9000,Tammy Tucker,24,Male,4,2.0,4,711,286.25,10,11184,1,0,0,0,3,1,1,0,2
36894,Thomas Price,59,Female,5,0.0,0,1139,237,16,14752,1,0,0,1,3,1,0,4,0
16997,Tara Campbell,64,Female,6,1.0,0,645,244.5,16,24990,2,0,0,3,1,1,0,2,3
26751,Michael Walsh,70,Male,3,0.0,0,261,310.3333333333333,8,5608,1,0,0,2,0,0,2,1,0
30396,Stephen Castaneda,39,Female,7,4.0,0,1090,333,24,23063,4,0,0,2,1,1,1,4,1
41258,Brandon Nichols,27,Female,4,3.0,0,384,260.25,11,13107,2,0,0,2,0,0,0,1,3
14894,Robert Wong,52,Male,6,3.0,6,743,296.1666666666667,12,16221,2,0,0,1,3,1,2,1,2
19972,Rachel Smith,33,Female,4,0.0,0,831,273.25,13,8908,1,0,1,0,2,1,0,1,2
40868,Tina Wright,46,Female,5,1.0,0,903,268.6,17,11699,3,0,0,2,0,1,0,0,4
41616,Kim Wallace,56,Female,6,1.0,6,1113,252.16666666666666,19,17023,2,0,1,1,2,1,4,0,1
21985,Ryan Blankenship,42,Female,6,2.0,0,1039,250.16666666666666,21,19859,2,0,0,1,3,1,2,1,2
32244,Terry Schmidt,59,Female,3,2.0,0,1086,331.6666666666667,7,10577,1,0,0,1,1,1,0,2,0
9002,William Mccall,28,Female,5,1.0,0,1099,201.6,15,13981,4,0,1,0,0,1,2,1,1
2891,Robin Myers,36,Female,2,1.0,0,1032,368,6,9268,0,0,0,0,2,0,0,2,0
35242,Diana Daugherty,40,Female,8,4.0,8,756,375.75,23,23504,2,0,0,6,0,1,1,4,2
4344,Laura Reyes,28,Male,2,1.0,0,138,470.5,8,5895,1,0,0,1,0,0,1,1,0
32763,Shawna Thompson,31,Male,11,4.0,0,1139,263.1818181818182,38,26384,6,0,1,3,1,4,3,2,2
14196,Elizabeth Bowman,57,Female,3,2.0,0,1192,296.3333333333333,10,11028,2,0,0,0,1,0,0,2,1
41462,Debra Maynard,45,Male,8,2.0,0,1199,156.875,25,21083,5,0,0,3,0,0,2,3,3
12959,Shannon Thomas,34,Male,6,2.0,0,1216,351,16,20077,2,0,0,3,1,1,1,2,2
6235,Amanda Herring,23,Male,4,2.0,0,511,170.75,6,11841,1,0,0,2,1,0,2,0,2
26201,Darlene Bennett,21,Male,9,3.0,0,695,298.77777777777777,29,24839,3,0,1,3,2,2,2,2,3
29098,Erin Romero,54,Female,11,3.0,0,1002,237.8181818181818,34,37770,2,0,2,5,2,2,2,0,7
46838,Gregory Smith,48,Male,8,4.0,8,797,252.5,28,25464,5,0,0,2,1,1,2,2,3
27771,Tammy Haynes,33,Male,3,0.0,0,1075,270,11,9250,1,0,1,1,0,0,2,0,1
29902,Jennifer Hale,20,Male,6,3.0,6,898,329.1666666666667,25,15146,1,0,2,1,2,3,0,2,1
9749,Tiffany Pollard,64,Female,10,2.0,0,1084,280.4,25,28929,2,0,1,3,4,0,3,3,4
48255,Kim Munoz,61,Female,9,6.0,0,1103,238.33333333333334,28,30771,5,0,0,1,3,1,1,4,3
4325,Stacy Jackson,58,Male,4,2.0,0,534,359,14,9437,3,0,0,0,1,1,2,0,1
33424,Howard Curtis,21,Male,11,5.0,11,962,313.3636363636364,28,40152,6,0,1,2,2,2,1,3,5
29299,Alyssa Turner,35,Female,3,1.0,3,385,300.3333333333333,10,7659,1,0,1,1,0,1,1,1,0
21341,Kelly Ruiz,43,Male,7,4.0,0,1084,239.42857142857142,16,13450,1,0,0,3,3,1,1,3,2
9037,Stephen Hughes,62,Male,4,2.0,0,979,312.5,15,7859,1,0,1,0,2,1,1,1,1
12590,Daniel Young,22,Female,5,2.0,5,1287,314.4,19,11234,2,0,0,1,2,0,0,5,0
40952,Gary Baker,38,Male,8,5.0,0,1073,291.25,28,16488,2,0,1,2,3,2,1,0,5
47649,Matthew Brooks,53,Female,4,1.0,0,1233,138.5,13,8240,0,0,1,2,1,0,0,1,3
17994,Sarah Waters,55,Female,8,3.0,8,1076,190.375,23,27855,2,0,0,3,3,2,3,1,2
36139,Terry Cohen,41,Female,4,1.0,4,691,238.25,19,13119,2,0,1,1,0,0,2,1,1
37945,Susan Scott,61,Male,6,2.0,0,1075,193.16666666666666,16,8282,0,0,2,2,2,2,1,1,2
41283,Emily Taylor,62,Female,5,2.0,0,865,238.6,14,13167,0,0,1,3,1,0,2,2,1
47535,Samantha Berry,37,Female,5,2.0,0,517,148.8,21,9036,2,0,1,2,0,0,1,4,0
33389,Amanda Mccullough,67,Female,4,2.0,4,1236,198.5,12,15431,3,0,0,1,0,1,0,1,2
11818,Joseph Perez,20,Male,4,1.0,0,1162,236.75,11,16079,4,0,0,0,0,1,2,1,0
42258,Brittany Moore,63,Female,3,2.0,0,411,244.33333333333334,6,11998,1,0,0,2,0,0,0,2,1
131,Stephanie Burch,29,Male,8,4.0,0,875,145.875,26,28943,5,0,1,2,0,2,1,2,3
12521,Maria Schultz,28,Female,5,3.0,0,1072,285.4,12,15843,1,0,1,1,2,0,3,1,1
31837,Aimee Johnson,48,Female,7,3.0,0,1075,354.42857142857144,17,20494,2,0,2,2,1,1,3,0,3
17084,Samuel Barnes,45,Male,5,2.0,0,863,174.8,10,18102,2,0,0,1,2,0,0,4,1
3349,Dylan Benjamin,56,Male,4,0.0,0,551,287,11,15445,3,0,0,0,1,1,3,0,0
24187,Kathleen Rodriguez,61,Female,6,4.0,6,626,238.83333333333334,23,20017,1,0,0,3,2,2,0,1,3
11561,Anthony Long,21,Female,9,8.0,0,1119,254.44444444444446,24,20398,3,0,2,2,2,3,1,1,4
26112,Lisa Crawford,22,Male,6,3.0,6,651,229.16666666666666,15,14891,2,0,2,0,2,0,1,3,2
3781,Justin Logan,60,Female,4,3.0,0,1123,151,11,7147,4,0,0,0,0,1,0,1,2
19644,Marilyn Morales,29,Female,4,1.0,0,745,383.75,13,8165,1,0,0,0,3,2,0,1,1
20365,Phillip Stein,26,Female,7,3.0,0,1159,282.85714285714283,14,21274,0,0,1,3,3,1,0,3,3
42122,Mr. Donald Johnson DVM,42,Female,6,3.0,0,797,326,16,14530,0,0,0,3,3,0,3,1,2
14877,Teresa Griffin PhD,55,Female,7,1.0,0,1099,188.71428571428572,22,19762,5,0,0,2,0,2,0,1,4
41213,Brianna Carrillo,26,Female,4,1.0,4,861,277.5,11,11677,0,0,0,1,3,0,0,3,1
12197,Phillip Black,23,Female,9,1.0,0,1315,299.44444444444446,23,29215,4,0,0,4,1,2,1,3,3
1378,Bianca Allen,62,Female,3,2.0,0,1186,228,8,6216,1,0,1,0,1,1,1,0,1
45087,Clinton Proctor,31,Male,2,0.0,2,588,327.5,7,3815,2,0,0,0,0,0,0,1,1
6903,Brenda Porter,33,Female,5,2.0,0,460,298,18,17359,3,0,0,1,1,2,3,0,0
27178,Kyle Garcia,41,Female,4,1.0,0,1152,313.75,11,14631,1,0,0,3,0,1,0,1,2
4850,William Harper,42,Female,7,3.0,7,793,169.14285714285714,24,12810,5,0,0,0,2,2,2,0,3
48545,Jennifer Taylor,37,Male,8,3.0,8,1228,228.125,18,19840,1,0,2,4,1,2,0,4,2
8286,James Nielsen,30,Female,4,3.0,0,676,422.25,11,15567,1,0,1,1,1,0,1,2,1
41925,Karen Howell,33,Male,1,1.0,0,0,430,4,2472,1,0,0,0,0,0,0,1,0
37586,Brandon York,48,Male,6,3.0,0,1045,288.3333333333333,20,16497,3,0,0,3,0,2,2,2,0
26929,Glenda Summers,69,Male,7,3.0,0,1107,257.2857142857143,24,21161,3,0,0,2,2,3,2,1,1
36691,Michael Weaver,70,Male,8,1.0,0,1193,253.375,21,29870,5,0,0,2,1,1,1,3,3
28600,Sarah Hernandez,21,Female,9,6.0,0,831,292.44444444444446,29,30183,2,0,1,3,3,5,2,0,2
43674,Christopher Day,34,Male,3,0.0,0,1029,230.33333333333334,9,6206,0,0,0,2,1,0,0,2,1
23937,Tamara Gallegos,43,Female,8,3.0,8,746,264.875,19,19751,3,0,1,2,2,2,1,0,5
6604,Michael Landry,46,Male,5,1.0,5,683,384.2,19,15565,0,0,0,4,1,0,3,0,2
15154,George Ortiz,20,Female,4,2.0,4,1122,177,11,10337,2,0,1,1,0,0,0,1,3
4181,Elizabeth Williams,46,Male,7,3.0,0,1211,251.85714285714286,25,16828,2,0,1,4,0,0,2,4,1
25088,Tabitha Butler,63,Female,6,2.0,0,1022,242.5,17,15386,1,0,0,3,2,1,0,1,4
11971,Matthew Zimmerman,32,Female,5,2.0,0,1215,172,19,15780,2,0,1,1,1,0,2,2,1
44138,Danielle Morrow,66,Female,5,0.0,0,1118,236.2,14,17623,1,0,0,3,1,2,1,0,2
8013,Mrs. Victoria Brown,31,Male,5,4.0,0,1072,278.2,9,12848,2,0,1,2,0,0,3,1,1
28754,Jessica Garner,20,Male,6,3.0,0,1205,192.66666666666666,17,15964,1,0,0,3,2,0,0,4,2
45866,Michelle Rivera,66,Male,9,2.0,0,1219,236.66666666666666,29,21774,4,0,1,2,2,2,0,4,3
49997,Jenny Weiss,56,Male,8,4.0,0,1136,332.125,23,22431,1,0,0,5,2,0,4,2,2
5163,Victoria Morris,41,Female,7,2.0,0,1199,270.42857142857144,14,8805,6,0,0,1,0,1,1,2,3
29535,Taylor Brown,51,Female,3,2.0,0,448,366,12,3457,2,0,0,0,1,2,1,0,0
26763,Dennis Powell,67,Female,2,1.0,2,106,261,9,6107,2,0,0,0,0,2,0,0,0
25619,Jonathan Bryant,43,Male,4,1.0,0,791,214.75,17,11588,3,0,0,1,0,3,0,0,1
19498,Alexandra Faulkner,42,Male,6,3.0,6,1096,296.6666666666667,22,14933,2,0,0,3,1,4,0,2,0
21419,Ricky Jones,25,Male,6,3.0,0,985,226.83333333333334,19,16627,3,0,1,2,0,1,2,1,2
26441,Denise James,70,Male,5,5.0,0,607,212.6,18,19079,0,0,1,3,1,1,0,1,3
4534,Douglas Parker,59,Male,2,1.0,0,70,302.5,4,8431,1,0,1,0,0,0,0,1,1
11580,Rose Wright,49,Male,4,2.0,0,358,398.75,11,13226,1,0,1,1,1,0,2,1,1
27690,Veronica Young,69,Male,2,0.0,0,915,184,6,9344,2,0,0,0,0,0,1,0,1
45699,Connor Martin,33,Female,1,1.0,0,0,225,5,4054,0,0,0,1,0,0,0,1,0
48670,Jocelyn Smith,70,Female,3,0.0,0,483,180,11,9150,0,0,0,2,1,0,1,2,0
9118,Laurie Rodriguez,20,Male,5,4.0,0,900,285,17,12444,1,0,1,1,2,1,2,1,1
27298,Ronald Martinez,52,Male,5,2.0,0,878,366,12,14430,2,0,1,1,1,1,2,0,2
1583,Caroline Henson,48,Female,5,4.0,0,886,304,17,10942,1,0,0,2,2,0,1,1,3
19372,Donna Holland,55,Female,6,2.0,0,1233,329.3333333333333,19,21850,0,0,3,2,1,0,0,4,2
39759,Michael Hicks,64,Female,7,4.0,0,1040,148.42857142857142,24,24760,3,0,2,1,1,3,1,1,2
11722,Charles Young,56,Female,7,2.0,0,1045,264.2857142857143,20,22262,3,0,0,2,2,4,1,1,1
47037,Patricia Gonzalez,64,Male,6,1.0,6,1256,243,13,10866,1,0,2,3,0,1,1,1,3
6875,Shannon Johnson,18,Female,7,2.0,0,1086,293.42857142857144,18,14074,3,0,0,3,1,1,1,2,3
33074,Dalton Dougherty,51,Male,7,2.0,0,850,287.57142857142856,24,20719,0,0,3,4,0,0,2,0,5
8833,Tamara Young,69,Male,4,1.0,0,771,229,13,10936,1,0,1,1,1,1,0,3,0
36603,Joshua Tucker,47,Male,8,4.0,8,1099,335.875,32,27133,1,0,0,3,4,2,1,1,4
23097,Thomas Kaufman,63,Male,4,1.0,0,1132,272,9,14387,0,0,1,2,1,1,1,2,0
1164,Whitney Anderson,64,Female,7,4.0,7,900,291.42857142857144,26,15360,2,0,1,2,2,2,2,2,1
12572,Ashley Mendoza,43,Female,4,0.0,0,863,223.5,16,10012,2,0,0,2,0,1,1,1,1
46892,Jack Ross,36,Male,3,2.0,3,881,268,8,5070,0,0,1,2,0,1,2,0,0
33288,Mary Garcia,54,Male,4,1.0,0,530,140.25,10,8992,1,0,2,1,0,1,0,1,2
